Day,Cash On Hand
11,552046
12,119188
13,692661
14,723142
15,569277
16,107396
17,334129
18,218688
19,299894
20,283791
21,648176
22,661690
23,825294
24,1441285
25,2026557
26,2635192
27,4659585
28,6093543
29,6877072
30,8373160
31,10197569
32,12443227
33,19377646
34,25559449
35,29561836
36,30730631
37,31104220
38,30865113
39,32424282
40,36508826
41,39807167
42,41074121
43,43343186
44,51537651
45,60716275
46,63458074
47,66325883
48,69418966
49,71206677
50,72531196
51,73812212
52,80937135
53,88198318
54,95373077
55,95899753
56,97777106
57,100658615
58,103099193
59,106035004
60,108587274
61,111976580
62,116094327
63,120866534
64,125618363
65,141451704
66,144775465
67,148617464
68,153009441
69,157502976
70,172355807
71,188404522
72,206965890
73,211324935
74,213860539
75,218466911
76,221709073
77,226278705
78,230398246
79,235670706
80,239406253
81,243732412
82,248953327
83,253504760
84,277382335
85,300977940
86,304343600
87,307795628
88,311310446
89,315151575
90,318907859
