Day ,Items ,Note ,Amount 
90,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 16371 ,183600
90,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
90,Marketing Expense,Cash Payment - Marketing - Bangkok,12000
90,Marketing Expense,Cash Payment - Marketing - Jakarta,12000
90,Marketing Expense,Cash Payment - Marketing - Ho Chi Minh City,12000
90,Marketing Expense,Cash Payment - Marketing - Manila,18000
90,Marketing Expense,Cash Payment - Marketing - Chiang Mai,500
90,Salary Expense,Cash Payment - Salary Expense,2217
90,Salary Expense,Cash Payment - Salary Expense,2064
90,Salary Expense,Cash Payment - Salary Expense,1943
90,Salary Expense,Cash Payment - Salary Expense,2039
90,Salary Expense,Cash Payment - Salary Expense,1973
90,Salary Expense,Cash Payment - Salary Expense,1275
90,Salary Expense,Cash Payment - Salary Expense,20872
90,Shipping Expense,Cash Payment - Shipping Expense - B2B SO : 16242,54675
90,Shipping Expense,Cash Payment - Shipping Expense - B2B SO : 16493,37945
90,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Bangkok,1675
90,Rental Expense,Cash Payment - Rental - Bangkok,1320
90,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Jakarta,2772
90,Rental Expense,Cash Payment - Rental - Jakarta,1200
90,Rental Expense,Cash Payment - Rental - Ho Chi Minh City,2080
90,Rental Expense,Cash Payment - Rental - Manila,1860
90,Rental Expense,Cash Payment - Rental - Butterworth,2000
90,Rental Expense,Cash Payment - Rental - Chiang Mai,1200
89,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
89,Marketing Expense,Cash Payment - Marketing - Bangkok,12000
89,Marketing Expense,Cash Payment - Marketing - Jakarta,12000
89,Marketing Expense,Cash Payment - Marketing - Ho Chi Minh City,12000
89,Marketing Expense,Cash Payment - Marketing - Manila,18000
89,Marketing Expense,Cash Payment - Marketing - Chiang Mai,500
89,Salary Expense,Cash Payment - Salary Expense,2197
89,Salary Expense,Cash Payment - Salary Expense,2064
89,Salary Expense,Cash Payment - Salary Expense,1943
89,Salary Expense,Cash Payment - Salary Expense,2039
89,Salary Expense,Cash Payment - Salary Expense,1973
89,Salary Expense,Cash Payment - Salary Expense,1275
89,Salary Expense,Cash Payment - Salary Expense,20850
89,Shipping Expense,Cash Payment - Shipping Expense - B2B SO : 16161,41470
89,Shipping Expense,Cash Payment - Move Stock ID: 15971,51518
89,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Bangkok,3200
89,Rental Expense,Cash Payment - Rental - Bangkok,1320
89,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Jakarta,3996
